Město,Kraj,Celkové hodnocení - calculated,Zdraví a životní prostředí,Materiální zabezpečení a vzdělání,Vztahy a služby,Index praktických lékařů,Index dětských lékařů,Index dojezdu do nemocnice,Index lékáren,Index průměrné délky života,Index znečištění ovzduší,Index znečišťovatelů,Index chráněných území,Index nezaměstnanosti,Index nabídky pracovních míst,Index finanční dostupnosti bydlení,Index hmotné nouze,Index exekucí,Index kapacity mateřských škol,Index kapacity základních škol,Index kvalitních středních škol,Index marketů,Index bankomatů,Index restaurací,Index kin,Index digitalizace,Index silniční sítě,Index železniční dopravy,Index sounáležitosti,Index zájmu o obecní a krajské volby,Index bezpečnosti,Index hazardu,Index stěhování mladých,Index přírůstku obyvatelstva
Litovel,Olomoucký kraj,4.8,6.6,4.6,3.3,4.1,7.7,5.6,8.3,5.2,3.3,5.8,1.4,6.9,1.3,4.5,7.9,7.9,4.5,4.9,6.1,7.2,3.1,7.9,1.9,3.6,7,1.3,2.3,4.1,5.1,8.6,2.5,1.7
Břeclav,Jihomoravský kraj,4.8,6.6,2.9,5,2.6,4.2,9.3,3.5,6,4.8,6.5,2.4,5.4,1.1,3.7,7.8,6.3,5.2,4.2,2.7,2.6,3.8,4.5,1.2,3.6,5.5,5,4.9,3.8,5.7,10,2.4,2.9
Jilemnice,Liberecký kraj,5.6,9.7,3.7,3.5,6,9.1,9.5,5.2,7.1,5.8,6.6,3.9,5.7,1.7,3.2,8,8.2,7.4,6.1,0.2,4.6,6.3,7.4,2.8,2.8,2.1,0.3,2.7,7.2,8.4,8.1,2.2,3.1
Dačice,Jihočeský kraj,5.6,7.4,4.1,5.2,4.8,5.4,9.6,3.3,5.3,6.9,7,0.4,6.1,0.3,3,9.6,9.2,7.1,7.1,3.8,6.3,1,1.3,1.3,1.6,6.7,1.5,6,7,8.1,8.4,2.2,3.6
Bruntál,Moravskoslezský kraj,3.4,5.7,1.8,2.7,3.3,5.4,9.8,4.1,1.7,6.5,8.5,4.1,0.3,1,8,0.2,1.9,6.9,5.6,3.6,1.3,2.9,1.1,5.9,5.4,3.9,0.6,7.2,1.7,3.2,6.8,2.1,2.8
Tanvald,Liberecký kraj,2.8,6.9,0.5,0.9,2.8,5,9.7,5.1,3.6,6.6,8.1,4.5,1.6,0.9,5.7,0.7,2.2,6,6.4,0.7,2.9,3.3,8.8,3,5.2,0.2,2,1.3,2.5,6.4,7.3,2.1,2.8
Náměšť nad Oslavou,Kraj Vysočina,4.1,7.6,3.1,1.6,2.3,5.9,4.9,4,7.8,6,6.5,0.2,8,0.7,3.8,9.1,8.6,2.2,5.7,1.1,1.9,2.3,4.8,0.1,2.6,4.9,0.9,5,5.5,6.5,10,2.1,3.1
Mariánské Lázně,Karlovarský kraj,3.5,5.9,2.7,2,4,6,2,3.8,3.1,9.5,4.8,4.2,3.9,2.6,4.2,6.1,5.2,5.4,3.7,0.4,2.5,3.8,7.1,3.2,3.4,4.1,1.7,6.8,2.2,5.1,5.8,1.9,3.1
Česká Lípa,Liberecký kraj,2.6,4.6,3,0.3,2.1,4.7,8.9,1,3,5.4,4.4,9.3,5.9,2.3,5,5.9,2.9,5.9,3.6,1.3,0.4,1.4,2.5,1.5,4.1,4.3,2.8,3.7,1.1,5,6.5,1.7,1.9
Kralovice,Plzeňský kraj,4.1,6.2,4.3,1.8,3.7,3.7,2.6,5.2,5.4,7,5.2,2.7,6.2,1.8,5.8,6.1,7.2,7.1,7.3,0,2.8,3.7,3.7,0,2.3,4.2,0,7.8,7.3,6,6.6,1.4,3
Vítkov,Moravskoslezský kraj,2.1,3,1.1,2.1,3.3,5.1,5.4,3,1.6,5.7,3.6,0.9,0.3,0.7,6.4,1.2,4.2,7.4,6.6,0.4,3,1.4,4.3,2.7,3.6,5,0.2,2,3.1,5.7,10,1.4,0.6
Telč,Kraj Vysočina,4.3,6.4,3.9,2.6,4.8,2.8,1.6,3,6.7,6.9,6.5,0.1,4.3,0.6,4.2,8.4,8.6,4.3,6,6.5,3.1,4.8,3.9,0,4.1,5.3,0.8,5.4,6.8,6,7.8,1.1,3.6
Moravský Krumlov,Jihomoravský kraj,5.4,6.2,6.1,4,5.7,4.8,6.8,2.8,5.7,5.4,5.1,0.6,5,5.4,3.4,9.1,8.1,3.4,5.7,3.8,2.5,2.5,2.4,0.1,2.7,4.4,1,5,6.9,7.8,8.4,0.9,4.2
Stříbro,Plzeňský kraj,4.3,4.7,6.1,2.1,3.9,4.5,4.1,2.3,3.6,6.9,5,2,6.9,4.7,4,8.6,5.9,4.7,5.4,4,2,4.4,1.8,1.4,3.9,6.9,1.2,3.8,3.5,5.7,5.1,0.9,3.4
Horšovský Týn,Plzeňský kraj,4.4,5.5,5.9,1.9,0,2.7,6.7,3.2,4.2,6.9,7.2,5.2,6.8,5,5.7,9.2,6.4,4.5,2.3,0.2,3.7,1.6,2.3,2.8,3.6,6.2,0.2,9.1,5.1,4.9,10,0,0
Tachov,Plzeňský kraj,2.8,4.5,3.3,0.7,2.5,3.8,0,1.6,2.6,7.9,7.9,5.8,5.7,2.6,3.3,6.9,6.1,5.7,5.2,0.2,1.3,0.7,0.5,1.4,4.4,5.2,0.7,4.1,3,6.7,10,0,0.5
