City,Kategorie,Typ,Stav objektu,Konstrukce,Vlastnictví,Užitná plocha od,Užitná plocha do,V okolí,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
Benešov,Prodej,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,18.0,11.0,9.0,10.0,9.0,10.0,7.0,9.0,11.0,15.0,15.0,15.0,13.0,10.0,8.0,5.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,4.0,7.0,9.0,7.0,11.0,7.0,10.0,15.0,21.0,19.0,23.0,21.0,17.0,13.0,10.0,8.0,9.0,9.0,5.0,6.0,6.0,7.0,6.0,4.0,5.0,7.0,6.0,7.0,5.0,7.0,8.0,7.0,6.0,5.0,7.0,6.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0,1.0,2.0,2.0,5.0,6.0,5.0,3.0,5.0,5.0,5.0,3.0,2.0,4.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,6.0,7.0,9.0,6.0,11.0,9.0,8.0,8.0,8.0,7.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,6.0,4.0,5.0,7.0,12.0,8.0,5.0,7.0,9.0,7.0,9.0,8.0,7.0,8.0,4.0,5.0,6.0,7.0,7.0
Kolín,Prodej,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,30.0,23.0,26.0,27.0,27.0,28.0,29.0,32.0,35.0,28.0,32.0,19.0,20.0,40.0,37.0,34.0,39.0,30.0,22.0,27.0,24.0,30.0,35.0,29.0,35.0,38.0,37.0,31.0,27.0,33.0,32.0,42.0,36.0,41.0,40.0,44.0,50.0,47.0,34.0,25.0,34.0,31.0,40.0,27.0,23.0,28.0,22.0,15.0,14.0,17.0,21.0,32.0,30.0,31.0,24.0,22.0,24.0,18.0,17.0,12.0,10.0,11.0,12.0,15.0,19.0,16.0,19.0,20.0,21.0,25.0,20.0,22.0,16.0,13.0,13.0,13.0,13.0,12.0,14.0,14.0,14.0,14.0,19.0,12.0,15.0,17.0,15.0,12.0,15.0,24.0,25.0,27.0,29.0,28.0,31.0,28.0,31.0,30.0,28.0,21.0,18.0,25.0,26.0,23.0,24.0,19.0,17.0,14.0,14.0,14.0,15.0,20.0,20.0,21.0,18.0,15.0,15.0,20.0,21.0,15.0,10.0,11.0,12.0,15.0,17.0,17.0,16.0,20.0,20.0,23.0,15.0,11.0
Kralupy nad Vltavou,Prodej,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,37.0,39.0,36.0,41.0,35.0,31.0,36.0,34.0,29.0,28.0,18.0,18.0,17.0,14.0,15.0,16.0,16.0,17.0,16.0,20.0,12.0,12.0,10.0,8.0,9.0,13.0,18.0,12.0,10.0,6.0,10.0,10.0,8.0,10.0,18.0,18.0,15.0,18.0,14.0,13.0,16.0,18.0,18.0,17.0,14.0,19.0,19.0,16.0,21.0,21.0,19.0,17.0,15.0,19.0,23.0,22.0,15.0,12.0,9.0,9.0,9.0,12.0,10.0,13.0,18.0,15.0,16.0,11.0,10.0,11.0,8.0,6.0,8.0,4.0,4.0,2.0,2.0,3.0,5.0,4.0,4.0,5.0,14.0,12.0,9.0,14.0,20.0,21.0,27.0,28.0,25.0,27.0,38.0,40.0,37.0,31.0,31.0,35.0,38.0,22.0,19.0,17.0,17.0,19.0,15.0,19.0,16.0,14.0,12.0,13.0,12.0,10.0,10.0,11.0,12.0,13.0,12.0,12.0,13.0,10.0,13.0,12.0,9.0,11.0,11.0,11.0,10.0,10.0,6.0,9.0,10.0,10.0
Mnichovo Hradiště,Prodej,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,11.0,6.0,3.0,2.0,7.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,5.0,5.0,3.0,2.0,3.0,1.0,1.0,,,,,2.0,2.0,3.0,3.0,5.0,12.0,16.0,14.0,5.0,2.0,7.0,5.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,4.0,7.0,9.0,7.0,7.0,5.0,6.0,7.0,9.0,5.0,4.0,1.0,,2.0,3.0,3.0,3.0,4.0,5.0,6.0,2.0,2.0,3.0,2.0,3.0,2.0,,1.0,,,1.0,,,2.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,,,,1.0,2.0,4.0,5.0,3.0,3.0,4.0,7.0,2.0,3.0,2.0,1.0,2.0,4.0,3.0,3.0,5.0
Nepomuk,Prodej,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,3.0,3.0,3.0,3.0,3.0,3.0,2.0,7.0,7.0,6.0,5.0,4.0,5.0,6.0,6.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,3.0,1.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,,1.0,1.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,4.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,4.0,4.0,5.0,5.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0
Opava,Prodej,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,94.0,106.0,105.0,96.0,62.0,62.0,69.0,63.0,66.0,75.0,60.0,50.0,64.0,56.0,29.0,32.0,24.0,26.0,21.0,21.0,22.0,32.0,41.0,38.0,38.0,35.0,35.0,28.0,46.0,38.0,40.0,39.0,29.0,31.0,28.0,32.0,21.0,17.0,24.0,29.0,35.0,26.0,19.0,22.0,24.0,39.0,39.0,37.0,45.0,40.0,45.0,51.0,42.0,41.0,38.0,32.0,30.0,31.0,29.0,27.0,26.0,20.0,23.0,22.0,32.0,27.0,26.0,21.0,18.0,14.0,11.0,5.0,7.0,9.0,12.0,9.0,18.0,15.0,14.0,18.0,13.0,5.0,9.0,9.0,11.0,12.0,15.0,23.0,28.0,31.0,36.0,42.0,43.0,41.0,40.0,39.0,37.0,31.0,28.0,30.0,28.0,32.0,24.0,20.0,28.0,28.0,28.0,18.0,25.0,27.0,24.0,24.0,31.0,32.0,22.0,18.0,18.0,16.0,17.0,13.0,11.0,10.0,10.0,9.0,8.0,13.0,11.0,19.0,23.0,22.0,22.0,18.0
Pelhřimov,Prodej,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,6.0,3.0,1.0,4.0,6.0,5.0,2.0,2.0,4.0,7.0,7.0,6.0,3.0,2.0,2.0,1.0,4.0,2.0,1.0,,,,,,,4.0,6.0,4.0,2.0,,,,1.0,1.0,4.0,3.0,6.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,6.0,6.0,7.0,9.0,10.0,14.0,16.0,16.0,11.0,11.0,5.0,3.0,2.0,1.0,2.0,2.0,2.0,,1.0,3.0,4.0,6.0,10.0,7.0,,,1.0,,1.0,2.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,,3.0,3.0,6.0,5.0,5.0,6.0,3.0,6.0,7.0,4.0,6.0,5.0,4.0,5.0,6.0,6.0,7.0,7.0,8.0,7.0,6.0,4.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,4.0,4.0,2.0,1.0,2.0,1.0,1.0,,1.0,2.0,,3.0,2.0,3.0,2.0,3.0,4.0,2.0,3.0
městská část břevnov,Prodej,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,2.0,4.0,3.0,4.0,2.0,2.0,11.0,7.0,8.0,4.0,4.0,6.0,5.0,5.0,1.0,2.0,4.0,4.0,2.0,3.0,2.0,3.0,4.0,6.0,3.0,1.0,3.0,4.0,5.0,8.0,4.0,11.0,10.0,5.0,7.0,5.0,4.0,2.0,2.0,2.0,1.0,3.0,3.0,4.0,6.0,11.0,10.0,15.0,8.0,5.0,3.0,3.0,5.0,7.0,7.0,6.0,7.0,4.0,2.0,2.0,2.0,4.0,3.0,7.0,9.0,1.0,,1.0,2.0,4.0,3.0,1.0,,5.0,3.0,8.0,7.0,5.0,1.0,1.0,4.0,5.0,5.0,3.0,4.0,9.0,11.0,11.0,12.0,9.0,11.0,11.0,14.0,17.0,18.0,12.0,14.0,11.0,6.0,4.0,6.0,2.0,2.0,2.0,4.0,5.0,2.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,9.0,12.0,6.0,9.0,8.0,5.0,4.0,3.0,2.0,8.0,3.0,4.0,3.0,,,2.0,4.0,1.0
městská část chodov,Prodej,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,67.0,66.0,81.0,80.0,84.0,89.0,103.0,80.0,82.0,90.0,101.0,61.0,83.0,96.0,66.0,84.0,58.0,56.0,67.0,60.0,65.0,58.0,81.0,60.0,80.0,87.0,99.0,92.0,92.0,83.0,73.0,74.0,85.0,112.0,101.0,74.0,66.0,89.0,98.0,82.0,79.0,80.0,79.0,70.0,97.0,96.0,90.0,70.0,80.0,66.0,64.0,61.0,76.0,77.0,74.0,62.0,78.0,98.0,70.0,39.0,43.0,41.0,39.0,35.0,41.0,39.0,40.0,47.0,60.0,57.0,54.0,51.0,51.0,56.0,59.0,58.0,64.0,51.0,39.0,46.0,45.0,37.0,43.0,34.0,46.0,55.0,64.0,78.0,83.0,94.0,112.0,123.0,108.0,108.0,113.0,87.0,100.0,98.0,92.0,82.0,87.0,84.0,75.0,71.0,65.0,74.0,69.0,54.0,59.0,52.0,57.0,65.0,60.0,51.0,50.0,47.0,48.0,65.0,70.0,50.0,45.0,46.0,50.0,59.0,65.0,62.0,45.0,40.0,43.0,47.0,57.0,43.0
Říčany,Prodej,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,8.0,14.0,10.0,13.0,10.0,5.0,5.0,4.0,6.0,3.0,1.0,2.0,5.0,5.0,6.0,6.0,6.0,8.0,6.0,7.0,4.0,4.0,2.0,2.0,4.0,4.0,10.0,9.0,12.0,19.0,11.0,8.0,5.0,6.0,8.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,2.0,2.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,8.0,7.0,5.0,4.0,4.0,2.0,2.0,2.0,2.0,6.0,6.0,4.0,2.0,3.0,5.0,4.0,6.0,2.0,2.0,2.0,2.0,1.0,3.0,5.0,8.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,4.0,5.0,5.0,4.0,6.0,6.0,8.0,10.0,12.0,6.0,4.0,1.0,4.0,3.0,4.0,5.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,1.0,4.0,4.0,2.0,1.0
